gene_id	original_edge_id	gene_name	interpretation_role	event_type	reference_factor	original_effect	original_q_value	original_association_status	original_level_factor_soft_flag	scenario_id	scenario_class	scenario_target_gene_id	scenario_target_gene_name	prespecified_seed_count	informative_model_count	completed_converged_seed_count	reliable_factor_match_count	reliable_factor_match_rate	direction_retained_count	direction_retention_rate	magnitude_retained_count	magnitude_retention_rate	low_margin_count	median_aligned_effect	median_q_value	minimum_factor_match_abs_loading_correlation	median_factor_match_abs_loading_correlation	scenario_no_op	no_op_reason	retention_decision
ENSG00000121879.6	TCGA_DRIVER_STATE_0048	PIK3CA	known_positive_anchor	mutation	Factor6	-0.325301204819277	0.367714061397188	directional_exploratory	FALSE	drop_mutation_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.32092004381161	0.515545723317852	0.99718962324442	0.997437168009455	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000121879.6	TCGA_DRIVER_STATE_0049	PIK3CA	known_positive_anchor	mutation	Factor8	-0.391018619934283	0.186619633118392	within_tcga_conditional	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	-0.386637458926616	0.198990079740947	0.991009230860003	0.99798752661386	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000121879.6	TCGA_DRIVER_STATE_0049	PIK3CA	known_positive_anchor	mutation	Factor8	-0.391018619934283	0.186619633118392	within_tcga_conditional	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.338444687842278	0.287672032959417	0.873642525676316	0.905448312409044	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000121879.6	TCGA_DRIVER_STATE_0049	PIK3CA	known_positive_anchor	mutation	Factor8	-0.391018619934283	0.186619633118392	within_tcga_conditional	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.281489594742607	0.551875847386777	0.79820305758115	0.799998610829623	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000121879.6	TCGA_DRIVER_STATE_0049	PIK3CA	known_positive_anchor	mutation	Factor8	-0.391018619934283	0.186619633118392	within_tcga_conditional	FALSE	drop_gene_event_features_PIK3CA	gene_event_feature_drop	ENSG00000121879.6	PIK3CA	3	3	3	3	1	3	1	3	1	0	-0.388828039430449	0.20391191404116	0.991048764701251	0.99799342907814	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000121879.6	TCGA_DRIVER_STATE_0049	PIK3CA	known_positive_anchor	mutation	Factor8	-0.391018619934283	0.186619633118392	within_tcga_conditional	FALSE	drop_mutation_view	global_view_drop			3	3	3	1	0.333333333333333	1	0.333333333333333	1	0.333333333333333	2	-0.384446878422782	0.203405017902548	0.691002087714637	0.707054180616254	FALSE		factor_alignment_unstable
ENSG00000121879.6	TCGA_DRIVER_STATE_0046	PIK3CA	known_positive_anchor	relative_cnv	Factor1	0.578587085765964	9.70359868940868e-08	within_tcga_supported	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	0.581171262846179	7.8506005451006e-08	0.996667925361895	0.999831609903007	FALSE		retained_across_seeds_no_low_margin
ENSG00000121879.6	TCGA_DRIVER_STATE_0046	PIK3CA	known_positive_anchor	relative_cnv	Factor1	0.578587085765964	9.70359868940868e-08	within_tcga_supported	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.573317106664178	1.48644918837262e-07	0.997105913287103	0.99788062376189	FALSE		retained_across_seeds_no_low_margin
ENSG00000121879.6	TCGA_DRIVER_STATE_0046	PIK3CA	known_positive_anchor	relative_cnv	Factor1	0.578587085765964	9.70359868940868e-08	within_tcga_supported	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.574660007674964	1.33433082001709e-07	0.996600719700229	0.996616587876539	FALSE		retained_across_seeds_no_low_margin
ENSG00000121879.6	TCGA_DRIVER_STATE_0046	PIK3CA	known_positive_anchor	relative_cnv	Factor1	0.578587085765964	9.70359868940868e-08	within_tcga_supported	FALSE	drop_gene_event_features_PIK3CA	gene_event_feature_drop	ENSG00000121879.6	PIK3CA	3	3	3	3	1	3	1	3	1	0	0.580459888256682	8.32371189390724e-08	0.996366812690369	0.999832814686329	FALSE		retained_across_seeds_no_low_margin
ENSG00000121879.6	TCGA_DRIVER_STATE_0046	PIK3CA	known_positive_anchor	relative_cnv	Factor1	0.578587085765964	9.70359868940868e-08	within_tcga_supported	FALSE	drop_mutation_view	global_view_drop			3	3	3	1	0.333333333333333	1	0.333333333333333	1	0.333333333333333	2	0.582042333772094	7.30634590881022e-08	0.626100009716627	0.638615370148529	FALSE		factor_alignment_unstable
ENSG00000100393.14	TCGA_DRIVER_STATE_0037	EP300	other_strong_driver	relative_cnv	Factor1	0.253771203331802	0.16303172875576	within_tcga_conditional	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	0.255160869297438	0.16303172875576	0.996667925361895	0.999831609903007	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000100393.14	TCGA_DRIVER_STATE_0037	EP300	other_strong_driver	relative_cnv	Factor1	0.253771203331802	0.16303172875576	within_tcga_conditional	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.25251388650575	0.169937424912664	0.997105913287103	0.99788062376189	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000100393.14	TCGA_DRIVER_STATE_0037	EP300	other_strong_driver	relative_cnv	Factor1	0.253771203331802	0.16303172875576	within_tcga_conditional	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.257840939374021	0.145292209839881	0.996600719700229	0.996616587876539	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000100393.14	TCGA_DRIVER_STATE_0037	EP300	other_strong_driver	relative_cnv	Factor1	0.253771203331802	0.16303172875576	within_tcga_conditional	FALSE	drop_mutation_view	global_view_drop			3	3	3	1	0.333333333333333	1	0.333333333333333	1	0.333333333333333	2	0.256542263441849	0.160189631828942	0.626100009716627	0.638615370148529	FALSE		factor_alignment_unstable
ENSG00000100393.14	TCGA_DRIVER_STATE_0038	EP300	other_strong_driver	relative_cnv	Factor7	-0.208400263918035	0.283940830828338	within_tcga_conditional	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	-0.200500674649094	0.301771863672184	0.999817313011878	0.999818522208016	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000100393.14	TCGA_DRIVER_STATE_0038	EP300	other_strong_driver	relative_cnv	Factor7	-0.208400263918035	0.283940830828338	within_tcga_conditional	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.219211534257834	0.27017172063135	0.995347852193533	0.995924851590014	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000100393.14	TCGA_DRIVER_STATE_0038	EP300	other_strong_driver	relative_cnv	Factor7	-0.208400263918035	0.283940830828338	within_tcga_conditional	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.210170433659976	0.3357535148037	0.995623411386344	0.995645980129931	FALSE		direction_and_magnitude_retained_statistical_attenuation
