sequence_length_nt	plausible_v3v4_length_380_480nt	asv_count	total_reads	median_prevalence	asv_fraction	read_fraction	sensitivity_role
344	FALSE	2	15	0.0357142857142857	0.000267201068804275	1.76833408782254e-05	retained_atypical_length_not_mechanically_removed
346	FALSE	1	24	0.0714285714285714	0.000133600534402138	2.82933454051607e-05	retained_atypical_length_not_mechanically_removed
347	FALSE	1	7	0.0238095238095238	0.000133600534402138	8.25222574317187e-06	retained_atypical_length_not_mechanically_removed
354	FALSE	2	12	0.0238095238095238	0.000267201068804275	1.41466727025804e-05	retained_atypical_length_not_mechanically_removed
355	FALSE	1	5	0.0238095238095238	0.000133600534402138	5.89444695940848e-06	retained_atypical_length_not_mechanically_removed
358	FALSE	4	123	0.0238095238095238	0.000534402137608551	0.000145003395201449	retained_atypical_length_not_mechanically_removed
362	FALSE	1	11	0.0238095238095238	0.000133600534402138	1.29677833106987e-05	retained_atypical_length_not_mechanically_removed
366	FALSE	1	10	0.0238095238095238	0.000133600534402138	1.1788893918817e-05	retained_atypical_length_not_mechanically_removed
369	FALSE	2	6	0.0238095238095238	0.000267201068804275	7.07333635129018e-06	retained_atypical_length_not_mechanically_removed
373	FALSE	2	9	0.0238095238095238	0.000267201068804275	1.06100045269353e-05	retained_atypical_length_not_mechanically_removed
375	FALSE	1	31	0.0714285714285714	0.000133600534402138	3.65455711483326e-05	retained_atypical_length_not_mechanically_removed
376	FALSE	2	7	0.0238095238095238	0.000267201068804275	8.25222574317187e-06	retained_atypical_length_not_mechanically_removed
377	FALSE	1	13	0.0238095238095238	0.000133600534402138	1.53255620944621e-05	retained_atypical_length_not_mechanically_removed
381	TRUE	2	10215	0.55952380952381	0.000267201068804275	0.0120423551380715	broad_expected_v3v4_length_subset
387	TRUE	1	11	0.0238095238095238	0.000133600534402138	1.29677833106987e-05	broad_expected_v3v4_length_subset
400	TRUE	1	106	0.285714285714286	0.000133600534402138	0.00012496227553946	broad_expected_v3v4_length_subset
403	TRUE	21	463	0.0238095238095238	0.00280561122244489	0.000545825788441225	broad_expected_v3v4_length_subset
404	TRUE	55	4708	0.0238095238095238	0.00734802939211757	0.00555021125697903	broad_expected_v3v4_length_subset
405	TRUE	581	46449	0.0238095238095238	0.077621910487642	0.0547582333635129	broad_expected_v3v4_length_subset
